Algoritmo,Quantum,N_Processos,Rodada,TME
fifo,30,60,11,51639.233333
fifo,30,60,12,54732.400000
fifo,30,60,13,54206.800000
fifo,30,60,14,45871.150000
fifo,30,60,15,60156.333333
fifo,30,60,16,55201.916667
fifo,30,60,17,46317.966667
fifo,30,60,18,53899.366667
fifo,30,60,19,61897.450000
fifo,30,60,20,49585.433333
fifo,30,60,21,44767.083333
fifo,30,60,22,50147.783333
fifo,30,60,23,46246.016667
fifo,30,60,24,52307.683333
fifo,30,60,25,45393.250000
fifo,30,60,26,50532.116667
fifo,30,60,27,58407.133333
fifo,30,60,28,58691.150000
fifo,30,60,29,45446.333333
fifo,30,60,30,50297.550000
fifo,30,70,1,75247.071429
fifo,30,70,2,61773.485714
fifo,30,70,3,48984.228571
fifo,30,70,4,57554.442857
fifo,30,70,5,70042.028571
fifo,30,70,6,63747.614286
fifo,30,70,7,62050.142857
fifo,30,70,8,55608.257143
fifo,30,70,9,61056.400000
fifo,30,70,10,60969.557143
fifo,30,70,11,61047.171429
fifo,30,70,12,60691.985714
fifo,30,70,13,71832.257143
fifo,30,70,14,53825.485714
fifo,30,70,15,64652.114286
fifo,30,70,16,57420.857143
fifo,30,70,17,64005.171429
fifo,30,70,18,64813.700000
fifo,30,70,19,57741.800000
fifo,30,70,20,46689.528571
fifo,30,70,21,67137.171429
fifo,30,70,22,74473.828571
fifo,30,70,23,68202.942857
fifo,30,70,24,61730.142857
fifo,30,70,25,58463.242857
fifo,30,70,26,52459.442857
fifo,30,70,27,62483.357143
fifo,30,70,28,58337.157143
fifo,30,70,29,46162.071429
fifo,30,70,30,81118.057143
fifo,30,80,1,75407.050000
fifo,30,80,2,72251.650000
fifo,30,80,3,64139.050000
fifo,30,80,4,65882.712500
fifo,30,80,5,78329.537500
fifo,30,80,6,76859.237500
fifo,30,80,7,72013.237500
fifo,30,80,8,74365.450000
fifo,30,80,9,64512.525000
fifo,30,80,10,74286.012500
fifo,30,80,11,63518.625000
fifo,30,80,12,77453.975000
fifo,30,80,13,73887.725000
fifo,30,80,14,58186.800000
fifo,30,80,15,65999.912500
fifo,30,80,16,78492.162500
fifo,30,80,17,86606.750000
fifo,30,80,18,64310.637500
fifo,30,80,19,61880.162500
fifo,30,80,20,74718.012500
fifo,30,80,21,60189.337500
fifo,30,80,22,77132.387500
fifo,30,80,23,72311.850000
fifo,30,80,24,55820.187500
fifo,30,80,25,54375.912500
fifo,30,80,26,66990.050000
fifo,30,80,27,61043.137500
fifo,30,80,28,59217.987500
fifo,30,80,29,85124.925000
fifo,30,80,30,68714.000000
fifo,30,90,1,84916.111111
fifo,30,90,2,75008.244444
fifo,30,90,3,71471.000000
fifo,30,90,4,80288.388889
fifo,30,90,5,75192.166667
fifo,30,90,6,60372.233333
fifo,30,90,7,78794.944444
fifo,30,90,8,90349.711111
fifo,30,90,9,85575.555556
fifo,30,90,10,88670.955556
fifo,30,90,11,74537.277778
fifo,30,90,12,72521.111111
fifo,30,90,13,82354.377778
fifo,30,90,14,92298.722222
fifo,30,90,15,64162.644444
fifo,30,90,16,74675.166667
fifo,30,90,17,87688.411111
fifo,30,90,18,79419.355556
fifo,30,90,19,70923.322222
fifo,30,90,20,78317.144444
fifo,30,90,21,67816.366667
fifo,30,90,22,90965.222222
fifo,30,90,23,69671.233333
fifo,30,90,24,72407.477778
fifo,30,90,25,81988.644444
